번호	조건 설명	적용할 값
1	전체 선택자로 margin, padding을 0으로 초기화하고 box-sizing을 border-box로 설정한다.	0 / 0 / border-box
2	body에 글꼴 Arial(sans-serif 대체), 배경색 #f9f9f9, 글자색 #333, line-height 1.6을 설정한다.	Arial,sans-serif / #f9f9f9 / #333 / 1.6
3	header에 배경색 #222, 글자색 white, padding 20px을 적용하고 display:flex, justify-content:space-between, align-items:center로 내부 요소를 양 끝에 수직 중앙 배치한다.	#222 / white / 20px / flex / space-between / center
4	header ul에 display:flex, list-style:none, gap:20px을 적용하여 메뉴를 가로로 배치하고, header a의 글자색을 white, text-decoration을 none으로 설정한다.	flex / none / 20px  |  white / none
5	.profile-section에 display:flex, max-width:1000px, margin:40px auto, padding:20px, background:white, border-radius:8px, gap:40px, align-items:center를 적용하여 프로필 사진과 소개글을 가로 배치한다.	flex / 1000px / 40px auto / 20px / white / 8px / 40px / center
6	.avatar에 width:200px, height:200px, background:#ccc, border-radius:50%를 적용하고 display:flex, align-items:center, justify-content:center로 안의 텍스트를 가운데 정렬한다.	200px / 200px / #ccc / 50%  |  flex / center / center
7	.info에 flex:1을 적용하여 프로필 사진을 제외한 나머지 공간을 모두 차지하게 한다.	1
8	.projects에 max-width:1000px, margin:40px auto, padding:0 20px을 설정한다.	1000px / 40px auto / 0 20px
9	.grid에 display:grid, grid-template-columns:repeat(3, 1fr), gap:20px, margin-top:20px을 적용하여 카드 3개를 균등한 3열로 배치한다.	grid / repeat(3,1fr) / 20px / 20px
10	.card에 background:white, padding:20px, border-radius:8px, border:1px solid #ddd, text-align:center을 적용한다.	white / 20px / 8px / 1px solid #ddd / center
11	768px 이하에서 header의 flex-direction을 column으로 변경하고 gap:15px, text-align:center를 적용하여 제목과 메뉴를 세로로 쌓는다.	column / 15px / center
12	768px 이하에서 header ul의 flex-direction을 column, gap을 10px으로 변경하여 메뉴 항목을 세로로 나열한다.	column / 10px
13	768px 이하에서 .profile-section의 flex-direction을 column으로 변경하고 text-align:center, margin:20px을 적용하여 프로필 사진과 소개글을 세로로 쌓는다.	column / center / 20px
14	768px 이하에서 .grid의 grid-template-columns를 1fr로 변경하여 3열 카드를 1열로 축소한다.	1fr
15	768px 이하에서 .projects의 margin을 20px auto로 축소한다.	20px auto
